Gen,Min,Avg,Max
1,91.75680544865503,190.18563975445596,601.1663089950878
2,125.87608768098674,244.96158956072225,649.5587586707104
3,168.605341614941,343.40888750103346,1306.944089142579
4,246.72050516809307,440.208056427237,1449.7864584238896
5,315.5520520052095,522.149194543681,1449.7864584238896
6,387.4147867758128,607.6429771365615,1449.7864584238896
7,439.1788939977383,730.4591545143878,1874.5200894637148
8,504.61925820791106,893.3074441013782,1874.5200894637148
9,619.9172192308184,1030.0947867422092,1874.5200894637148
10,774.6208761317152,1184.984207430481,1874.5200894637148
11,975.3430989174284,1353.7339382203281,2251.946715829745
12,1138.1490477462567,1451.3766089791386,2251.946715829745
13,1247.0286740193094,1557.066808668825,2352.124011378803
14,1340.8551542601608,1623.3273731903898,2352.124011378803
15,1486.2364820114415,1828.0808795747266,3058.9726517115173
16,1591.8525680631712,2005.5985815760391,3496.4106632368776
17,1641.1108541605245,2072.43084750253,3496.4106632368776
18,1725.7446788040145,2131.7304984973057,3496.4106632368776
19,1817.1800883781214,2207.0172907380647,3496.4106632368776
20,1855.6596668200568,2228.967161191493,3496.4106632368776
21,1919.4111368637316,2307.099619057732,3496.4106632368776
22,1986.1038033123712,2385.624918165933,3496.4106632368776
23,2040.4701182634456,2416.379960903248,3496.4106632368776
24,2067.9891144562853,2434.307021403668,3496.4106632368776
25,2125.187366529859,2476.7714393615915,3496.4106632368776
26,2139.6631140302916,2525.0833811082125,3496.4106632368776
27,2179.954815058706,2548.1099840660595,3496.4106632368776
28,2226.157061442742,2603.129358509083,3496.4106632368776
29,2240.530567353089,2619.9786863561003,3496.4106632368776
30,2306.8221315102983,2723.9363307241706,3646.147620317201
31,2352.124011378803,2808.4441760614955,4882.962518225066
32,2428.339941983253,2906.2952080888576,4886.766473666592
33,2482.6086770286347,2975.9956578739498,4886.766473666592
34,2538.902515662031,3000.519051968289,4886.766473666592
35,2547.9154997523283,3024.308624266167,4886.766473666592
36,2598.900838239725,3082.2996757446085,4886.766473666592
37,2650.3805257334047,3112.638649054188,4886.766473666592
38,2726.2629581394904,3180.712843490929,4886.766473666592
39,2752.1035221794236,3206.55088089275,4886.766473666592
40,2783.44033038746,3229.173567280888,4886.766473666592
41,2783.44033038746,3229.173567280888,4886.766473666592
42,2785.730101395981,3249.681654935733,4886.766473666592
43,2789.568180599288,3313.247275395847,4886.766473666592
44,2809.2488814980597,3341.9147560489155,4886.766473666592
45,2809.2488814980597,3341.9147560489155,4886.766473666592
46,2851.797678775674,3366.4485599853924,4886.766473666592
47,2876.847963529627,3369.9629285918954,4886.766473666592
48,2876.847963529627,3369.9629285918954,4886.766473666592
49,2885.5658691525555,3421.290369092807,4886.766473666592
50,2885.5658691525555,3421.290369092807,4886.766473666592
