Block0 X,Block0 Y,Block0 Z,Mass0,Block1 X,Block1 Y,Block1 Z,Mass1,Block2 X,Block2 Y,Block2 Z,Mass2,Block3 X,Block3 Y,Block3 Z,Mass3
|[0.1761366357140139, 1.1131437872821632, 0.018361220122081596, 3.6]|,|[0.28100495574314494, 0.021926904810511592, 0.5842667750956051, 3.6]|,|[0.001348306775212607, 0.9878224548985236, 2.702930567365569, 3.6]|,|[0.056703573496643046, 0.5799210244225177, 0.10947708309682272, 3.6]|
|[0.019017270226990454, 0.12623461166100444, 1.4996015296577103, 3.6]|,|[0.13002247632289166, 0.3824025615336767, 0.07240411924321721, 3.6]|,|[0.5506942749887321, 0.08004284057009275, 0.08167129588897762, 3.6]|,|[0.19404230242518092, 0.13294815990998513, 0.13954804314399524, 3.6]|
|[0.019017270226990454, 0.12623461166100444, 1.4996015296577103, 3.6]|,|[0.13002247632289166, 0.3824025615336767, 0.07240411924321721, 3.6]|,|[0.5506942749887321, 0.08004284057009275, 0.08167129588897762, 3.6]|,|[0.19404230242518092, 0.13294815990998513, 0.13954804314399524, 3.6]|
|[0.1761366357140139, 1.1131437872821632, 0.018361220122081596, 3.6]|,|[0.28100495574314494, 0.021926904810511592, 0.5842667750956051, 3.6]|,|[0.001348306775212607, 0.9878224548985236, 2.702930567365569, 3.6]|,|[0.056703573496643046, 0.5799210244225177, 0.10947708309682272, 3.6]|
|[0.1761366357140139, 1.1131437872821632, 0.018361220122081596, 3.6]|,|[0.28100495574314494, 0.021926904810511592, 0.5842667750956051, 3.6]|,|[0.001348306775212607, 0.9878224548985236, 2.702930567365569, 3.6]|,|[0.056703573496643046, 0.5799210244225177, 0.10947708309682272, 3.6]|
|[0.1761366357140139, 1.1131437872821632, 0.018361220122081596, 3.6]|,|[0.28100495574314494, 0.021926904810511592, 0.5842667750956051, 3.6]|,|[0.001348306775212607, 0.9878224548985236, 2.702930567365569, 3.6]|,|[0.056703573496643046, 0.5799210244225177, 0.10947708309682272, 3.6]|
|[0.1761366357140139, 1.1131437872821632, 0.018361220122081596, 3.6]|,|[0.28100495574314494, 0.021926904810511592, 0.5842667750956051, 3.6]|,|[0.001348306775212607, 0.9878224548985236, 2.702930567365569, 3.6]|,|[0.056703573496643046, 0.5799210244225177, 0.10947708309682272, 3.6]|
|[0.1761366357140139, 1.1131437872821632, 0.018361220122081596, 3.6]|,|[0.28100495574314494, 0.021926904810511592, 0.5842667750956051, 3.6]|,|[0.001348306775212607, 0.9878224548985236, 2.702930567365569, 3.6]|,|[0.056703573496643046, 0.5799210244225177, 0.10947708309682272, 3.6]|
|[0.1761366357140139, 1.1131437872821632, 0.018361220122081596, 3.6]|,|[0.28100495574314494, 0.021926904810511592, 0.5842667750956051, 3.6]|,|[0.001348306775212607, 0.9878224548985236, 2.702930567365569, 3.6]|,|[0.056703573496643046, 0.5799210244225177, 0.10947708309682272, 3.6]|
|[0.1761366357140139, 1.1131437872821632, 0.018361220122081596, 3.6]|,|[0.28100495574314494, 0.021926904810511592, 0.5842667750956051, 3.6]|,|[0.001348306775212607, 0.9878224548985236, 2.702930567365569, 3.6]|,|[0.056703573496643046, 0.5799210244225177, 0.10947708309682272, 3.6]|
